programming_skill,math_skill,communication_skill,logic_score,cgpa,aptitude_score,interest_area,career
6,9,1,2,8.8,64,AI/ML,Data Science
9,9,2,2,9.8,51,Security,Machine Learning
2,1,5,7,9.8,44,Coding,Business Analytics
1,9,5,5,9.1,97,AI/ML,Business Analytics
9,8,4,5,8.0,64,Management,Machine Learning
2,3,7,9,8.7,46,Business,Business Analytics
1,4,8,1,5.9,92,Security,Product Management
5,8,8,8,7.4,88,Management,UI/UX Design
10,3,6,3,6.3,82,Design,UI/UX Design
7,5,6,10,5.0,45,Management,Data Science
1,7,5,10,9.8,45,Management,Business Analytics
9,7,3,6,9.3,53,Coding,Software Development
9,10,5,4,7.6,49,Coding,Machine Learning
9,2,1,3,6.3,72,Business,Cybersecurity
10,3,10,2,8.5,63,Design,UI/UX Design
3,10,4,10,7.2,86,Security,Cybersecurity
10,6,8,2,9.0,46,Coding,Cloud Engineering
4,3,10,5,10.0,84,Coding,Product Management
9,3,5,5,6.7,96,Business,Software Development
6,4,9,7,6.2,47,Business,Cloud Engineering
8,6,5,9,6.3,79,Management,Software Development
7,3,2,6,5.5,71,Networking,Cloud Engineering
7,7,1,8,7.0,45,Security,Cybersecurity
7,5,2,6,5.1,57,AI/ML,Machine Learning
8,7,10,5,5.6,88,AI/ML,Cloud Engineering
8,2,5,2,6.4,93,Security,Product Management
2,7,4,3,5.8,62,Coding,Business Analytics
9,10,5,5,8.7,46,AI/ML,Data Science
6,2,3,1,5.5,54,Design,Business Analytics
4,4,9,4,9.3,91,Coding,Business Analytics
6,7,10,5,6.1,74,AI/ML,Data Science
10,7,1,5,5.5,66,Networking,Machine Learning
9,7,8,9,5.1,40,Design,UI/UX Design
9,6,4,10,8.6,87,Design,Software Development
5,7,1,8,6.3,68,Design,Software Development
8,7,10,1,7.5,73,AI/ML,Data Science
4,1,1,5,5.6,91,Business,Software Development
7,8,3,8,9.9,74,Business,Machine Learning
7,5,1,6,5.6,96,Business,Software Development
3,1,5,5,7.1,74,Design,Product Management
3,5,6,5,9.3,60,Coding,Business Analytics
1,5,4,5,6.2,96,Data,Business Analytics
2,1,1,6,6.3,79,Management,Software Development
5,10,2,2,9.0,86,Data,Machine Learning
5,3,10,6,6.4,53,Networking,Cloud Engineering
2,4,9,3,5.0,80,Networking,Product Management
5,5,10,7,7.1,74,Design,UI/UX Design
7,9,6,9,5.1,46,Data,Data Science
3,8,6,6,9.5,55,Business,Business Analytics
4,8,8,4,8.2,95,AI/ML,Business Analytics
4,3,7,10,7.9,74,Data,Software Development
6,9,5,7,6.0,87,Data,Data Science
4,9,3,5,8.5,50,AI/ML,Machine Learning
8,5,5,1,8.4,53,Data,Machine Learning
4,6,1,1,5.3,97,AI/ML,Machine Learning
5,1,2,3,9.4,65,Data,Machine Learning
4,8,8,3,7.9,94,Data,Machine Learning
2,10,9,8,9.0,89,AI/ML,Business Analytics
7,5,2,6,6.3,60,Data,Machine Learning
3,6,1,10,5.6,97,AI/ML,Software Development
3,5,1,6,8.5,87,Business,Software Development
8,1,8,10,9.0,47,Data,Software Development
10,7,4,6,6.9,45,Business,Machine Learning
7,8,4,4,5.1,47,Management,Data Science
10,10,1,8,9.1,85,Management,Machine Learning
9,10,10,5,6.0,48,Management,Business Analytics
5,5,5,3,6.7,57,AI/ML,Machine Learning
8,10,8,5,8.1,66,Coding,Machine Learning
4,6,8,7,5.5,48,Coding,Business Analytics
5,7,2,4,5.4,60,Design,Machine Learning
6,7,9,8,5.1,81,Networking,Cloud Engineering
10,10,6,10,9.6,99,Data,Data Science
9,8,7,5,6.6,68,Business,Business Analytics
5,2,3,3,8.3,85,Coding,Software Development
7,1,9,5,9.9,72,Data,Product Management
3,5,10,9,8.3,68,Design,UI/UX Design
9,6,5,2,7.6,71,Data,Machine Learning
6,7,1,10,7.6,98,Business,Software Development
6,5,9,5,6.9,43,Design,UI/UX Design
8,6,9,9,8.0,71,Management,Product Management
7,10,6,8,9.8,43,Design,UI/UX Design
1,4,6,8,8.9,93,Management,Product Management
3,5,3,10,7.1,76,Networking,Cybersecurity
2,6,1,2,6.7,42,AI/ML,Machine Learning
8,5,10,6,9.4,78,Security,Business Analytics
1,10,5,1,5.7,66,Networking,Business Analytics
3,10,3,3,9.2,42,AI/ML,Machine Learning
6,6,7,1,6.3,99,Coding,Business Analytics
7,5,1,7,8.6,63,Business,Software Development
6,6,1,7,9.0,41,Coding,Software Development
9,2,3,8,7.4,77,Data,Software Development
10,5,5,2,6.0,62,Design,Machine Learning
2,3,4,4,9.2,80,Business,Product Management
10,2,2,7,6.8,49,AI/ML,Software Development
7,1,4,9,6.6,90,AI/ML,Software Development
7,6,4,9,7.6,65,Management,Software Development
1,1,6,1,7.2,65,Business,Product Management
7,7,6,5,8.4,89,AI/ML,Data Science
8,5,9,1,5.7,73,Data,Business Analytics
6,4,9,9,7.2,40,Security,Cybersecurity
1,8,3,2,9.5,75,AI/ML,Machine Learning
6,6,10,9,5.2,79,Management,Product Management
10,8,6,2,7.3,59,Data,Data Science
8,8,2,1,8.3,51,Business,Cybersecurity
2,1,4,9,9.4,43,Security,Cybersecurity
10,3,8,5,8.0,91,Networking,Cloud Engineering
10,6,9,5,9.1,40,Data,Business Analytics
2,10,4,7,6.1,75,Coding,Business Analytics
9,2,2,3,6.8,91,Coding,Software Development
5,2,2,7,9.7,61,Security,Business Analytics
6,10,2,5,9.4,52,Security,Machine Learning
5,10,7,3,7.8,83,AI/ML,Machine Learning
8,2,6,4,7.4,78,Coding,Software Development
10,5,5,1,7.3,40,Design,Machine Learning
8,7,7,4,5.3,75,Management,Product Management
10,2,9,6,9.5,40,Data,Cybersecurity
10,4,8,2,9.1,64,Data,Machine Learning
1,4,2,2,7.3,58,Networking,Business Analytics
3,7,6,7,6.4,90,AI/ML,Business Analytics
8,4,9,5,6.7,99,Security,Product Management
6,5,8,2,5.6,82,Security,Business Analytics
1,3,4,8,8.6,84,Networking,Cybersecurity
1,8,4,8,7.8,41,Design,Business Analytics
6,2,9,1,6.2,43,Coding,Product Management
7,3,1,3,8.1,87,Networking,Cloud Engineering
2,3,6,4,9.9,66,Coding,Product Management
2,10,2,8,5.6,70,Networking,Cybersecurity
2,10,9,1,7.3,82,Coding,Business Analytics
6,6,1,9,7.5,61,Design,Software Development
1,2,1,4,5.8,81,Coding,Software Development
6,8,4,2,7.7,84,Data,Data Science
5,5,3,9,8.0,54,Design,Software Development
5,9,5,1,5.8,81,Management,Machine Learning
7,4,3,2,5.8,50,Coding,Machine Learning
6,10,4,10,9.3,58,Business,Machine Learning
8,9,6,6,6.6,87,Coding,Software Development
8,3,6,5,8.2,99,Data,Machine Learning
10,8,10,7,8.1,43,AI/ML,Data Science
8,3,5,7,9.2,79,Data,Software Development
6,4,6,7,8.7,74,Security,Cybersecurity
5,3,7,1,9.2,76,Data,Business Analytics
3,7,2,6,8.1,87,Coding,Software Development
6,3,7,3,7.2,44,Networking,Cloud Engineering
2,7,9,9,7.0,85,Design,UI/UX Design
10,6,4,6,6.9,57,Networking,Cloud Engineering
9,8,2,2,7.1,49,Networking,Machine Learning
2,10,4,9,5.6,67,Security,Cybersecurity
8,1,3,3,7.1,41,Security,Software Development
2,10,6,3,6.9,78,Business,Business Analytics
8,2,9,10,5.2,74,Business,Product Management
1,6,6,8,6.4,71,Coding,Business Analytics
5,4,2,9,8.8,41,Networking,Cybersecurity
7,7,4,7,7.9,86,Design,Machine Learning
8,8,7,10,9.0,42,Data,Data Science
5,9,4,2,7.7,56,Business,Business Analytics
10,5,6,6,9.3,64,Coding,Software Development
8,10,7,3,9.0,82,AI/ML,Data Science
3,4,4,4,5.5,64,AI/ML,Machine Learning
7,3,7,3,9.9,89,AI/ML,Machine Learning
8,4,4,3,5.1,96,Coding,Software Development
4,6,2,5,8.0,86,Data,Machine Learning
8,7,4,10,9.0,42,Security,Cybersecurity
9,9,5,7,6.7,87,Management,Machine Learning
9,3,1,4,8.0,52,Design,Software Development
8,4,9,5,6.8,94,Networking,Cloud Engineering
7,10,6,6,5.3,99,Management,Machine Learning
3,5,1,3,5.0,45,Coding,Machine Learning
8,3,9,6,5.5,46,Data,Software Development
4,10,9,7,5.5,82,Security,Cybersecurity
6,5,1,3,8.1,48,Design,Machine Learning
4,10,2,6,7.6,99,Business,Machine Learning
4,10,4,8,7.3,72,Design,Cybersecurity
2,10,6,6,8.5,74,Management,Business Analytics
10,6,8,3,5.1,92,Coding,Machine Learning
2,8,5,6,6.4,53,Design,Business Analytics
1,10,7,8,8.9,73,AI/ML,Business Analytics
10,3,1,3,9.5,100,Coding,Cloud Engineering
6,1,7,6,7.2,41,Security,Software Development
5,4,10,7,5.4,50,Networking,Cybersecurity
8,7,6,4,9.0,48,Coding,Machine Learning
4,6,5,4,9.4,60,Business,Business Analytics
2,1,3,9,7.1,47,AI/ML,Data Science
8,6,10,4,6.2,50,Security,Business Analytics
2,2,1,6,5.2,92,Management,Software Development
6,6,3,2,8.0,68,AI/ML,Machine Learning
10,6,2,10,9.5,61,Coding,Software Development
10,7,9,6,8.4,65,Security,Machine Learning
4,5,5,8,6.6,99,Management,Software Development
8,5,10,7,8.2,69,Security,Cybersecurity
7,7,7,4,9.2,68,Data,Business Analytics
5,8,6,4,7.4,96,Security,Business Analytics
2,9,6,8,9.1,42,Business,Business Analytics
4,4,3,9,7.0,69,Management,Software Development
7,5,6,2,6.7,85,Management,Product Management
10,4,7,9,7.9,71,Coding,Software Development
1,6,10,9,7.3,92,AI/ML,Product Management
8,2,6,2,9.9,94,Design,UI/UX Design
9,5,10,2,7.6,60,Security,Business Analytics
10,2,10,7,6.9,89,Security,Cybersecurity
5,6,6,9,7.0,54,Coding,Software Development
2,9,5,4,7.7,54,Networking,Business Analytics
3,10,2,7,6.8,99,Security,Cybersecurity
9,5,3,10,8.6,40,AI/ML,Business Analytics
9,1,9,4,6.9,61,Data,Software Development
7,3,2,3,6.9,78,Business,Machine Learning
2,2,4,10,8.1,65,AI/ML,Software Development
2,8,7,3,5.3,91,Coding,Business Analytics
5,10,3,5,8.3,55,Data,Machine Learning
6,6,10,5,7.5,73,Security,Business Analytics
1,2,7,6,7.3,47,AI/ML,Product Management
7,1,1,3,8.6,52,Networking,Cloud Engineering
6,10,3,7,8.8,50,Coding,Machine Learning
1,4,8,7,9.2,85,Data,Business Analytics
1,2,9,3,6.9,52,Security,Product Management
5,2,10,5,6.6,80,Management,Product Management
8,3,9,1,8.6,61,Business,Product Management
9,7,1,3,7.9,74,Business,Machine Learning
5,9,8,10,8.2,93,Business,Business Analytics
3,3,2,6,7.8,92,Security,Software Development
10,7,1,7,8.9,40,Networking,Cloud Engineering
5,1,7,9,6.0,87,AI/ML,Software Development
4,1,5,8,7.8,98,Management,Software Development
5,1,7,8,5.8,80,AI/ML,Software Development
1,10,9,8,7.0,51,Management,Business Analytics
4,6,1,5,8.3,80,Coding,Software Development
6,9,6,7,7.5,78,Design,UI/UX Design
10,1,9,3,6.9,80,Business,Product Management
8,1,5,9,9.4,66,Data,Software Development
8,9,6,2,8.9,72,Networking,Machine Learning
6,2,5,9,7.6,79,Business,Software Development
2,2,10,9,9.8,68,Networking,Cybersecurity
4,6,1,2,7.1,87,Management,Machine Learning
10,7,9,8,8.9,83,Coding,Software Development
1,3,9,10,5.8,58,Coding,Software Development
9,5,9,6,6.4,77,AI/ML,Machine Learning
7,7,5,4,6.7,86,Data,Data Science
3,5,6,9,5.5,69,Data,Business Analytics
8,4,4,6,7.5,83,Design,Software Development
9,1,3,2,6.0,47,AI/ML,Machine Learning
1,5,9,3,8.2,63,Security,Cloud Engineering
2,9,6,7,6.0,82,Security,Cybersecurity
7,7,8,5,5.6,94,Management,Product Management
10,9,2,3,9.8,79,Management,Machine Learning
1,2,8,8,8.3,80,Business,Product Management
7,1,7,2,9.7,60,Data,Machine Learning
2,6,10,3,7.4,82,Networking,Business Analytics
7,2,2,5,5.2,61,Design,Software Development
7,6,6,1,7.9,43,Business,Business Analytics
1,10,6,4,7.8,55,Data,Business Analytics
7,4,6,10,5.1,77,Management,Software Development
9,6,1,10,9.3,98,Data,Software Development
9,7,5,9,8.1,70,Management,Software Development
1,2,3,4,8.7,92,Management,Product Management
3,9,7,1,7.5,87,AI/ML,Machine Learning
3,3,3,9,8.1,74,Management,Software Development
5,9,5,4,6.3,89,Security,Machine Learning
2,7,7,8,9.9,64,Networking,Cybersecurity
9,2,1,2,7.0,67,Design,Machine Learning
8,8,8,7,5.8,84,Design,UI/UX Design
9,2,8,6,5.3,78,Security,Software Development
2,6,1,10,8.2,72,Security,Cybersecurity
1,10,1,2,9.9,66,AI/ML,Machine Learning
10,10,9,5,9.5,99,AI/ML,Data Science
3,9,3,10,8.5,44,Coding,Software Development
7,5,9,4,10.0,43,Design,UI/UX Design
10,6,5,7,8.6,69,Security,Cybersecurity
1,4,4,2,6.7,42,Data,Data Science
1,10,3,8,8.0,60,Coding,Software Development
1,5,7,3,5.4,74,Data,Business Analytics
2,8,2,6,6.1,64,Networking,Machine Learning
1,4,5,9,7.1,52,Business,Business Analytics
9,8,4,7,6.0,57,Security,Cybersecurity
7,3,2,5,9.8,76,Business,Software Development
10,8,4,2,10.0,98,Design,Machine Learning
9,1,6,4,6.9,87,Coding,Software Development
10,2,7,9,8.5,73,Networking,Cloud Engineering
3,4,1,3,7.0,48,Design,Machine Learning
3,5,9,7,5.7,54,Design,UI/UX Design
9,8,9,5,6.7,66,Management,Product Management
3,4,7,4,6.2,55,Business,Business Analytics
1,1,10,8,6.6,82,Management,Product Management
7,4,5,4,6.1,62,Security,Machine Learning
9,5,9,3,5.6,90,Business,Product Management
10,6,8,6,6.1,56,Coding,Software Development
10,7,6,8,9.5,70,Business,Business Analytics
2,3,2,9,5.4,83,Data,Software Development
8,7,6,7,6.6,52,Security,Cybersecurity
9,7,10,7,7.6,86,Design,Cybersecurity
7,8,10,8,6.8,75,Data,Business Analytics
9,6,5,3,7.6,79,AI/ML,Machine Learning
9,9,3,3,5.2,67,Design,Business Analytics
5,3,8,5,8.2,97,Security,Product Management
1,8,1,7,7.8,87,Networking,Cybersecurity
5,1,2,7,8.4,51,Management,Software Development
3,2,6,2,7.8,73,AI/ML,Product Management
2,9,10,8,7.2,95,Management,Product Management
2,5,4,4,6.8,57,Security,Business Analytics
7,7,5,9,6.1,72,Data,Data Science
6,7,4,8,7.5,86,Design,Software Development
6,7,5,10,5.1,56,Management,Software Development
8,3,1,7,6.6,71,Networking,Cloud Engineering
6,2,6,6,8.4,73,Coding,Software Development
7,1,6,2,5.5,50,Management,Product Management
1,9,4,4,5.3,50,AI/ML,Business Analytics
9,3,3,9,8.3,74,Data,Cybersecurity
5,6,8,4,7.0,50,Business,Business Analytics
2,5,2,1,9.0,97,Management,Machine Learning
9,2,1,3,9.7,71,Management,Software Development
8,5,1,6,9.8,83,Networking,Cybersecurity
1,1,9,7,7.1,64,Design,Cybersecurity
2,2,4,10,6.3,58,Networking,Cybersecurity
1,2,2,10,8.0,69,Networking,Cybersecurity
3,9,9,6,8.1,83,Management,Data Science
1,6,2,6,8.1,64,Business,Business Analytics
8,10,4,9,6.6,57,Management,Machine Learning
6,5,1,1,5.3,48,Data,Machine Learning
10,3,7,6,6.1,73,Management,Product Management
8,7,7,5,5.8,81,Design,UI/UX Design
7,10,8,8,5.6,72,Security,Cybersecurity
6,6,3,9,9.6,55,Networking,Cloud Engineering
1,1,4,7,5.1,55,Networking,Cybersecurity
1,4,10,7,8.0,63,Business,Business Analytics
7,10,9,7,9.7,61,Coding,Product Management
1,6,1,6,6.8,52,AI/ML,Machine Learning
1,10,7,3,7.6,97,Networking,Business Analytics
3,6,9,3,8.5,60,Management,Business Analytics
9,1,6,8,6.6,55,Management,Software Development
5,9,7,7,7.4,77,Data,Business Analytics
8,8,1,3,9.1,88,Business,Machine Learning
5,8,1,9,8.7,68,Design,Software Development
2,10,1,10,9.0,80,Security,Cybersecurity
4,2,2,7,9.9,45,AI/ML,Software Development
1,10,10,3,6.9,72,Management,Product Management
8,3,7,10,8.7,44,Security,Cybersecurity
2,10,8,3,8.0,48,Management,Business Analytics
4,2,3,5,8.3,76,AI/ML,Software Development
10,6,10,9,8.7,52,Management,Software Development
6,8,2,6,8.7,42,Design,Machine Learning
5,1,10,3,9.4,50,Design,UI/UX Design
6,1,1,1,6.7,87,Coding,Software Development
8,9,1,4,8.3,75,Networking,Machine Learning
3,1,1,7,6.4,63,Business,Software Development
7,7,8,8,8.0,99,Management,Product Management
9,10,3,3,8.8,63,Business,Product Management
6,7,5,2,9.0,93,Coding,Machine Learning
5,5,5,8,7.1,61,Management,Software Development
2,5,8,2,7.5,41,Coding,Business Analytics
3,7,4,1,6.7,46,Management,Business Analytics
10,6,1,5,5.8,56,Management,Machine Learning
6,6,4,6,6.3,51,Business,Machine Learning
4,2,3,3,9.6,49,Data,Software Development
5,7,8,3,6.5,63,Security,Business Analytics
6,8,8,3,9.9,99,Design,UI/UX Design
6,8,1,4,6.2,52,Data,Data Science
7,1,8,1,8.6,54,Coding,Product Management
3,8,1,1,7.9,100,Design,Machine Learning
7,8,7,4,8.5,52,Design,UI/UX Design
5,2,4,1,8.2,90,Design,Product Management
10,9,4,4,8.5,77,Management,Machine Learning
2,6,5,6,9.5,96,Security,Business Analytics
2,5,4,1,7.8,73,Design,Business Analytics
5,8,8,7,5.3,76,Networking,Software Development
6,6,10,7,6.4,53,Networking,Cloud Engineering
7,6,9,6,8.5,75,AI/ML,Machine Learning
5,4,5,7,7.5,80,Design,Software Development
10,10,6,9,7.7,100,Business,Business Analytics
5,10,5,1,8.0,45,Management,Machine Learning
2,2,8,2,6.9,49,Security,Product Management
2,8,6,4,8.9,41,Management,Business Analytics
10,1,5,7,8.6,88,Management,Product Management
2,4,5,9,8.6,45,Networking,Cybersecurity
10,10,4,10,8.6,95,Networking,Cloud Engineering
3,2,6,6,9.5,62,Design,UI/UX Design
1,4,7,5,8.0,57,Networking,UI/UX Design
4,3,5,5,9.8,99,Business,Product Management
7,8,9,1,5.6,83,Data,Business Analytics
5,5,9,5,8.2,73,Networking,Business Analytics
8,6,5,6,8.6,94,Management,Machine Learning
7,10,10,3,7.4,86,Coding,Business Analytics
5,6,2,8,6.4,78,Networking,Cloud Engineering
7,8,10,9,7.8,59,Design,Software Development
10,1,3,4,6.8,100,Management,Software Development
5,3,6,10,9.5,83,Design,UI/UX Design
2,10,3,2,6.8,97,AI/ML,Machine Learning
5,9,5,10,5.9,98,Business,Business Analytics
9,7,4,8,7.9,73,Management,Business Analytics
3,4,8,3,7.0,61,Business,Business Analytics
10,2,1,7,5.5,97,Business,Software Development
6,9,9,4,7.8,100,Coding,Business Analytics
7,8,10,8,7.7,47,Data,Business Analytics
4,3,6,2,5.9,78,Coding,Product Management
10,6,6,3,8.0,76,Business,Business Analytics
1,7,7,4,7.8,85,Data,Business Analytics
3,5,2,2,8.9,99,Management,Product Management
5,10,8,4,6.8,55,Coding,UI/UX Design
5,2,3,7,6.2,99,Business,Software Development
5,3,7,7,9.8,79,AI/ML,Software Development
2,1,4,6,7.8,45,Networking,Cloud Engineering
3,7,8,2,5.1,71,Management,Product Management
1,7,8,3,9.1,48,Business,Business Analytics
6,10,3,10,6.0,98,Business,Machine Learning
4,6,7,3,8.9,86,Networking,Business Analytics
6,2,5,2,8.5,95,Management,Product Management
6,5,3,5,9.8,76,Design,Machine Learning
8,1,6,1,9.8,64,Design,UI/UX Design
6,7,10,4,6.4,66,Security,Business Analytics
7,7,1,9,8.8,97,Data,Data Science
6,9,10,3,6.6,49,Design,UI/UX Design
7,4,9,8,8.1,93,Design,UI/UX Design
7,4,6,5,8.0,65,Design,UI/UX Design
4,1,7,4,5.3,76,Coding,Product Management
3,5,4,7,5.0,80,Networking,Cybersecurity
8,5,2,6,5.3,45,Security,Software Development
4,8,6,4,5.6,49,AI/ML,Machine Learning
6,8,9,3,6.3,49,Security,Business Analytics
2,2,3,10,9.5,87,Design,Software Development
5,3,8,2,7.6,44,Business,Business Analytics
6,6,8,10,9.0,77,AI/ML,Software Development
7,4,8,5,9.2,46,Security,Software Development
6,1,4,10,8.7,86,AI/ML,Software Development
4,9,4,4,7.0,99,Design,Machine Learning
10,8,5,6,9.3,65,Coding,Software Development
6,6,9,7,8.7,52,Management,Business Analytics
9,4,10,4,8.7,67,Coding,Software Development
8,9,5,3,9.5,82,Security,Machine Learning
6,1,10,6,8.0,84,Design,UI/UX Design
9,5,6,7,7.6,78,AI/ML,Machine Learning
2,9,4,3,9.5,75,Data,Business Analytics
10,10,1,8,7.3,78,Management,Machine Learning
9,3,7,7,9.1,53,Coding,Software Development
6,7,7,2,5.3,52,Management,UI/UX Design
8,2,10,10,5.0,96,Security,Software Development
6,2,8,1,7.6,75,Data,Business Analytics
3,4,1,7,5.4,92,Business,Software Development
8,9,6,5,9.9,78,AI/ML,Data Science
3,7,8,7,5.0,67,Networking,Cybersecurity
4,5,5,8,8.6,74,Security,Cybersecurity
6,3,5,7,6.2,82,Design,Software Development
9,2,9,7,9.8,51,Data,Software Development
4,3,7,9,6.9,68,Security,Cybersecurity
5,2,7,8,5.1,84,Business,Machine Learning
1,2,5,9,5.1,45,AI/ML,Software Development
2,7,3,5,7.8,44,Management,Business Analytics
1,2,6,3,9.9,49,Design,UI/UX Design
1,1,10,3,9.9,76,Design,UI/UX Design
9,6,7,7,6.7,54,Design,UI/UX Design
9,3,8,6,7.4,66,Security,Software Development
9,5,2,1,5.5,48,Security,Machine Learning
1,2,10,3,7.6,55,Data,Business Analytics
1,3,3,10,8.0,41,Security,Cybersecurity
3,5,10,8,6.3,89,Business,Product Management
6,7,5,8,8.1,68,Data,Data Science
4,5,10,2,9.5,50,Management,Business Analytics
5,6,9,1,5.0,72,Coding,Business Analytics
2,6,8,3,6.1,96,Design,UI/UX Design
8,3,10,9,6.0,90,Data,Software Development
4,3,7,6,5.6,93,Design,UI/UX Design
1,5,9,8,5.8,64,Management,Product Management
8,1,2,5,8.1,61,Networking,Cloud Engineering
10,7,1,5,5.5,59,Coding,Machine Learning
1,7,6,7,8.7,58,Coding,Business Analytics
5,4,9,10,9.4,96,Security,Cybersecurity
9,4,8,5,9.6,48,Data,Business Analytics
8,4,6,6,8.3,91,Design,UI/UX Design
9,7,6,10,6.0,95,Networking,Cloud Engineering
5,8,7,4,5.4,91,Networking,Business Analytics
4,2,9,9,6.2,78,Management,Product Management
8,5,9,6,9.8,92,Data,Business Analytics
2,1,2,9,9.8,41,Management,Software Development
3,5,6,5,6.9,89,Security,Business Analytics
7,3,4,7,6.6,71,Security,Cybersecurity
7,4,8,4,7.6,98,Design,UI/UX Design
2,5,6,7,6.5,45,Coding,Software Development
6,4,10,4,9.9,96,Data,Business Analytics
4,4,5,7,6.1,74,Data,Software Development
6,8,7,8,6.8,46,Design,UI/UX Design
10,9,2,5,7.1,71,AI/ML,Data Science
1,1,10,5,5.6,42,Management,Product Management
10,4,2,4,6.9,45,Security,Machine Learning
5,9,4,8,9.3,72,Business,Business Analytics
8,6,9,6,5.7,89,Networking,Cloud Engineering
5,3,10,6,7.9,46,AI/ML,Business Analytics
4,6,5,1,7.0,56,Management,Business Analytics
8,2,5,2,5.9,63,Coding,Data Science
7,1,1,1,5.1,73,Networking,Cloud Engineering
2,7,10,9,6.4,40,Networking,Cybersecurity
8,6,1,9,5.3,78,Business,Software Development
8,8,1,1,6.9,70,Data,Data Science
4,4,5,1,9.1,98,Management,Machine Learning
10,9,1,8,8.6,58,Security,Cybersecurity
7,5,2,6,9.7,70,Design,Data Science
4,8,7,4,7.1,44,Coding,Business Analytics
1,2,8,7,8.5,95,Security,Machine Learning
7,1,3,3,8.3,90,Business,Software Development
3,8,8,2,6.1,61,Management,Business Analytics
8,9,7,4,6.5,68,Networking,Machine Learning
6,10,3,9,7.6,92,Design,Machine Learning
5,4,8,8,9.0,58,Networking,Cybersecurity
2,1,6,2,7.3,54,Networking,Product Management
8,10,9,6,6.1,54,Coding,Software Development
2,7,2,9,10.0,83,Design,Software Development
5,3,3,10,5.6,52,Networking,Cybersecurity
9,8,4,8,9.8,45,Security,Cybersecurity
10,10,4,2,9.0,50,Networking,Machine Learning
10,3,9,3,9.2,100,Management,Product Management
10,8,8,3,9.0,93,Business,Business Analytics
6,8,6,2,6.0,98,Business,Business Analytics
3,6,6,2,8.2,56,AI/ML,Product Management
9,7,9,4,8.8,66,Data,Business Analytics
9,3,5,6,8.7,69,AI/ML,Software Development
10,10,3,4,6.4,71,Business,Machine Learning
7,10,2,5,5.9,41,Management,Machine Learning
2,10,4,3,6.6,76,Design,Business Analytics
6,8,7,2,7.4,42,Design,UI/UX Design
5,1,5,10,7.9,56,Security,Cybersecurity
9,4,5,6,9.2,57,Security,Software Development
4,5,5,3,8.8,81,Management,Product Management
4,10,10,9,8.4,94,Data,Business Analytics
1,6,10,9,6.3,82,Networking,UI/UX Design
9,6,2,10,7.4,66,Coding,Software Development
8,2,2,2,6.7,72,Business,Machine Learning
1,8,3,7,6.2,71,Data,Business Analytics
5,4,9,10,5.1,49,Business,Software Development
5,1,5,9,6.7,98,Data,Software Development
5,10,9,3,6.3,96,Coding,Business Analytics
10,2,7,9,7.9,54,AI/ML,Software Development
2,1,6,5,5.3,47,Business,Product Management
4,1,3,5,6.4,50,Coding,Software Development
2,5,4,6,5.2,78,Security,Business Analytics
3,2,2,8,8.2,41,Networking,Cybersecurity
10,9,6,2,7.8,46,Networking,Machine Learning
10,6,3,6,6.7,79,Networking,Cloud Engineering
1,4,3,9,5.7,48,Business,Software Development
7,1,1,6,9.8,44,Management,Software Development
3,5,8,3,7.9,41,Data,Business Analytics
2,2,10,1,8.4,83,Coding,Product Management
3,10,5,6,7.7,62,Coding,Business Analytics
2,3,6,8,9.0,57,AI/ML,Software Development
5,5,10,6,9.5,79,Business,Product Management
10,1,6,10,6.9,50,Data,Software Development
6,2,7,7,8.5,71,Management,Product Management
8,3,5,6,6.1,69,Networking,Cloud Engineering
5,1,6,1,8.3,81,AI/ML,Product Management
1,8,6,6,7.0,78,AI/ML,Product Management
1,10,8,2,5.0,81,Networking,Cloud Engineering
3,10,7,8,9.8,53,Business,Product Management
3,3,6,2,9.3,48,Design,UI/UX Design
9,8,1,10,6.5,72,AI/ML,Data Science
9,6,10,4,10.0,43,Coding,Business Analytics
9,1,9,5,6.6,67,Design,UI/UX Design
7,1,2,2,7.3,78,Business,Software Development
6,6,3,3,9.3,90,Business,Software Development
7,5,10,10,6.5,79,Coding,Software Development
5,1,4,3,7.3,100,AI/ML,Product Management
7,10,9,6,8.3,73,Business,Business Analytics
8,8,8,10,5.7,67,Business,Cloud Engineering
8,6,9,7,7.1,54,Management,Software Development
7,10,1,1,6.5,81,Management,Machine Learning
1,10,5,4,8.4,89,Networking,Business Analytics
8,10,6,4,5.7,59,Business,Business Analytics
4,3,9,3,6.2,44,Networking,Business Analytics
8,9,3,3,8.6,40,Design,Machine Learning
6,6,4,6,5.8,78,Networking,Cloud Engineering
9,8,2,4,7.1,80,Security,Machine Learning
4,9,8,3,8.6,47,Management,Business Analytics
10,2,10,5,8.8,41,Networking,Cloud Engineering
9,5,2,4,5.5,79,AI/ML,Machine Learning
4,2,3,3,9.3,64,AI/ML,Machine Learning
5,3,4,5,8.6,65,Security,Software Development
6,5,9,10,6.7,56,Networking,Machine Learning
8,9,5,6,8.8,83,Business,Machine Learning
7,9,3,6,8.6,85,Design,Software Development
9,4,4,10,8.0,43,Management,Software Development
4,4,6,7,7.8,45,Networking,Cybersecurity
6,6,4,3,8.7,73,Business,Cloud Engineering
5,10,2,4,10.0,76,Security,Machine Learning
10,10,9,5,7.9,48,AI/ML,Data Science
4,3,5,5,9.0,49,Security,Software Development
6,2,3,2,8.7,81,Design,Machine Learning
